,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-08-30,0.879,0.887,0.877,0.885,0.885,2886.0
1,2000-08-31,0.885,0.888,0.88,0.885,0.885,1095.0
2,2000-09-01,0.878,0.889,0.878,0.889,0.889,3449.0
3,2000-09-04,0.887,0.898,0.8865000000000001,0.8975,0.8975,2423.0
4,2000-09-05,0.896,0.907,0.895,0.906,0.906,1397.0
5,2000-09-06,0.905,0.906,0.8975,0.9015,0.9015,1195.0
6,2000-09-07,0.9015,0.907,0.9015,0.906,0.906,1598.0
7,2000-09-08,0.912,0.919,0.9095,0.912,0.912,628.0
8,2000-09-11,0.911,0.913,0.907,0.913,0.913,653.0
9,2000-09-12,0.912,0.9285,0.912,0.9285,0.9285,623.0
10,2000-09-13,0.9335,0.9335,0.927,0.9275,0.9275,1014.0
11,2000-09-14,0.933,0.934,0.923,0.9255,0.9255,806.0
12,2000-09-15,0.9255,0.9255,0.9125,0.92,0.92,505.0
13,2000-09-18,0.92,0.922,0.914,0.9185,0.9185,693.0
14,2000-09-19,0.914,0.922,0.914,0.9215,0.9215,1050.0
15,2000-09-20,0.912,0.913,0.9,0.9015,0.9015,508.0
16,2000-09-21,0.904,0.926,0.904,0.9255,0.9255,545.0
17,2000-09-22,0.907,0.9265,0.907,0.9195,0.9195,561.0
18,2000-09-25,0.92,0.9275,0.907,0.927,0.927,980.0
19,2000-09-26,0.924,0.9255,0.9115,0.9165,0.9165,0.0
20,2000-09-27,0.912,0.917,0.905,0.9125,0.9125,841.0
21,2000-09-28,0.914,0.9145,0.9065,0.911,0.911,455.0
22,2000-09-29,0.918,0.919,0.8955,0.9155,0.9155,673.0
23,2000-10-02,0.914,0.915,0.895,0.895,0.895,415.0
24,2000-10-03,0.89,0.899,0.887,0.8985,0.8985,296.0
25,2000-10-04,0.8965,0.8965,0.891,0.8965,0.8965,248.0
26,2000-10-05,0.91,0.91,0.9095,0.9095,0.9095,216.0
27,2000-10-06,0.905,0.905,0.904,0.9045,0.9045,454.0
28,2000-10-09,0.888,0.8935,0.888,0.8925,0.8925,203.0
29,2000-10-10,0.9,0.9025,0.898,0.9025,0.9025,214.0
30,2000-10-11,0.8995,0.8995,0.8935,0.8985,0.8985,274.0
31,2000-10-12,0.8825,0.8825,0.8795,0.8795,0.8795,279.0
32,2000-10-13,0.8775,0.89,0.8775,0.8895,0.8895,368.0
33,2000-10-16,0.888,0.8925,0.888,0.8915,0.8915,276.0
34,2000-10-17,0.89,0.89,0.875,0.8805,0.8805,236.0
35,2000-10-18,0.8695,0.871,0.8695,0.87,0.87,282.0
36,2000-10-19,0.87,0.872,0.87,0.871,0.871,118.0
37,2000-10-20,0.86,0.86,0.86,0.86,0.86,275.0
38,2000-10-23,0.862,0.8655,0.862,0.8655,0.8655,239.0
39,2000-10-24,0.869,0.8695,0.862,0.8625,0.8625,171.0
40,2000-10-25,0.856,0.856,0.849,0.8505,0.8505,246.0
41,2000-10-26,0.845,0.845,0.828,0.829,0.829,0.0
42,2000-10-27,0.8355,0.8455,0.8355,0.8415,0.8415,478.0
43,2000-10-30,0.8395,0.843,0.838,0.8425,0.8425,543.0
44,2000-10-31,0.853,0.855,0.8465,0.8465,0.8465,409.0
45,2000-11-01,0.8445,0.845,0.8325,0.833,0.833,786.0
46,2000-11-02,0.836,0.8365,0.836,0.836,0.836,1103.0
47,2000-11-03,0.84,0.8445,0.8355,0.836,0.836,156.0
48,2000-11-06,0.8375,0.8375,0.825,0.825,0.825,588.0
49,2000-11-07,0.8305,0.833,0.828,0.8285,0.8285,362.0
50,2000-11-08,0.828,0.8345,0.8275,0.8345,0.8345,361.0
51,2000-11-09,0.834,0.839,0.834,0.838,0.838,311.0
52,2000-11-10,0.836,0.838,0.8305,0.8365,0.8365,202.0
53,2000-11-13,0.819,0.819,0.819,0.819,0.819,319.0
54,2000-11-14,0.825,0.8265,0.825,0.826,0.826,317.0
55,2000-11-15,0.824,0.83,0.824,0.826,0.826,184.0
56,2000-11-16,0.8185,0.8185,0.8185,0.8185,0.8185,257.0
57,2000-11-17,0.82,0.8225,0.82,0.822,0.822,206.0
58,2000-11-20,0.819,0.833,0.819,0.822,0.822,539.0
59,2000-11-21,0.82,0.829,0.8185,0.829,0.829,0.0
60,2000-11-22,0.823,0.823,0.8185,0.8195,0.8195,389.0
61,2000-11-23,0.826,0.831,0.823,0.8285,0.8285,259.33333333333337
62,2000-11-24,0.829,0.839,0.8275,0.8375,0.8375,129.66666666666669
63,2000-11-27,0.832,0.847,0.832,0.8465,0.8465,0.0
64,2000-11-28,0.848,0.862,0.848,0.861,0.861,11293.0
65,2000-11-29,0.851,0.858,0.8465,0.852,0.852,3507.0
66,2000-11-30,0.85,0.858,0.841,0.841,0.841,1826.0
67,2000-12-01,0.838,0.86,0.838,0.8595,0.8595,829.0
68,2000-12-04,0.86,0.862,0.855,0.8605,0.8605,874.0
69,2000-12-05,0.86,0.87,0.857,0.869,0.869,1112.0
70,2000-12-06,0.877,0.877,0.868,0.877,0.877,978.0
71,2000-12-07,0.877,0.88,0.875,0.8785,0.8785,1436.0
72,2000-12-08,0.8855,0.89,0.8855,0.8875,0.8875,1327.0
73,2000-12-11,0.891,0.8995,0.868,0.8895,0.8895,671.0
74,2000-12-12,0.886,0.886,0.874,0.8835,0.8835,853.0
75,2000-12-13,0.88,0.881,0.878,0.8805,0.8805,1020.0
76,2000-12-14,0.8805,0.889,0.88,0.889,0.889,1186.0
77,2000-12-15,0.8915,0.8915,0.866,0.8725,0.8725,581.0
78,2000-12-18,0.873,0.8765,0.8665,0.8745,0.8745,546.0
79,2000-12-19,0.868,0.874,0.866,0.874,0.874,703.0
80,2000-12-20,0.865,0.87,0.8565,0.863,0.863,653.0
81,2000-12-21,0.856,0.857,0.847,0.856,0.856,489.0
82,2000-12-22,0.8545,0.861,0.8545,0.86,0.86,603.0
83,2000-12-25,0.8572500000000001,0.863,0.8572500000000001,0.86175,0.86175,301.5
84,2000-12-26,0.86,0.865,0.86,0.8635,0.8635,0.0
85,2000-12-27,0.8475,0.855,0.846,0.8475,0.8475,1094.0
86,2000-12-28,0.852,0.8525,0.851,0.8525,0.8525,723.0
