,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-05-15,185.800003,185.800003,180.0,183.199997,183.199997,25878.0
1,2000-05-16,183.0,183.800003,180.5,181.5,181.5,13486.0
2,2000-05-17,181.0,181.699997,177.800003,179.5,179.5,15204.0
3,2000-05-18,183.5,185.699997,181.100006,181.600006,181.600006,15204.0
4,2000-05-19,182.399994,183.800003,181.199997,183.800003,183.800003,6700.0
5,2000-05-22,183.100006,186.199997,181.800003,183.899994,183.899994,10414.0
6,2000-05-23,183.199997,183.899994,181.600006,181.699997,181.699997,9924.0
7,2000-05-24,181.800003,181.800003,178.5,179.0,179.0,17677.0
8,2000-05-25,179.0,180.0,172.800003,174.699997,174.699997,29621.0
9,2000-05-26,175.199997,178.600006,174.600006,178.399994,178.399994,16576.0
11,2000-05-30,177.199997,177.199997,173.0,175.199997,175.199997,17323.0
12,2000-05-31,175.300003,177.5,175.300003,176.800003,176.800003,13937.0
13,2000-06-01,177.5,179.5,177.0,177.5,177.5,7509.0
14,2000-06-02,177.699997,180.5,176.399994,179.699997,179.699997,11424.0
15,2000-06-05,181.800003,182.0,178.5,180.5,180.5,10992.0
16,2000-06-06,180.0,181.199997,177.399994,180.699997,180.699997,14102.0
17,2000-06-07,181.300003,181.5,176.600006,178.300003,178.300003,15802.0
18,2000-06-08,178.300003,179.199997,177.399994,177.600006,177.600006,9753.0
19,2000-06-09,178.100006,181.199997,176.5,179.699997,179.699997,15084.0
20,2000-06-12,178.0,178.0,174.0,175.199997,175.199997,16487.0
21,2000-06-13,176.199997,178.5,175.699997,176.699997,176.699997,15393.0
22,2000-06-14,176.399994,177.199997,174.100006,174.300003,174.300003,22123.0
23,2000-06-15,174.399994,175.5,173.300003,173.800003,173.800003,14005.0
24,2000-06-16,173.800003,175.5,170.0,170.899994,170.899994,24379.0
25,2000-06-19,171.699997,171.699997,170.0,170.800003,170.800003,10209.0
26,2000-06-20,170.0,170.800003,168.0,169.100006,169.100006,13717.0
27,2000-06-21,169.0,172.199997,169.0,171.199997,171.199997,9706.0
28,2000-06-22,171.399994,171.899994,169.199997,170.0,170.0,11167.0
29,2000-06-23,170.0,170.399994,169.0,170.300003,170.300003,10468.0
30,2000-06-26,169.199997,170.0,168.5,169.899994,169.899994,6995.0
31,2000-06-27,171.199997,171.399994,170.100006,170.300003,170.300003,8514.0
32,2000-06-28,171.0,171.0,168.5,168.699997,168.699997,13687.0
33,2000-06-29,169.0,170.300003,167.5,169.899994,169.899994,13703.0
34,2000-06-30,169.0,170.0,165.5,166.800003,166.800003,8009.0
35,2000-07-03,167.0,167.0,163.0,163.800003,163.800003,4509.0
37,2000-07-05,163.899994,167.199997,163.5,166.699997,166.699997,4723.0
38,2000-07-06,166.5,167.5,165.100006,165.899994,165.899994,5154.0
39,2000-07-07,166.0,168.300003,166.0,167.699997,167.699997,4738.0
40,2000-07-10,168.100006,168.100006,165.199997,167.800003,167.800003,2801.0
41,2000-07-11,168.5,168.600006,167.800003,168.300003,168.300003,3123.0
42,2000-07-12,168.199997,170.5,167.399994,169.5,169.5,3625.0
43,2000-07-13,169.800003,171.899994,169.600006,171.199997,171.199997,5385.0
44,2000-07-14,169.0,169.5,163.100006,165.199997,165.199997,3401.0
45,2000-07-17,152.199997,152.399994,150.5,150.800003,150.800003,2175.0
46,2000-07-18,151.100006,152.199997,150.399994,150.600006,150.600006,3537.0
47,2000-07-19,150.399994,150.699997,148.899994,149.0,149.0,5241.0
48,2000-07-20,149.399994,150.600006,149.0,150.399994,150.399994,3025.0
49,2000-07-21,150.0,152.0,150.0,151.699997,151.699997,2839.0
50,2000-07-24,152.800003,153.5,149.300003,149.899994,149.899994,3322.0
51,2000-07-25,149.5,149.5,147.699997,148.100006,148.100006,4533.0
52,2000-07-26,148.199997,148.800003,147.5,148.699997,148.699997,3604.0
53,2000-07-27,149.5,151.0,149.300003,150.300003,150.300003,3557.0
54,2000-07-28,150.300003,151.699997,148.800003,148.800003,148.800003,4811.0
55,2000-07-31,146.5,149.300003,146.399994,146.800003,146.800003,4183.0
56,2000-08-01,147.899994,148.699997,146.300003,146.699997,146.699997,3674.0
57,2000-08-02,147.600006,148.100006,146.899994,147.800003,147.800003,4229.0
58,2000-08-03,146.199997,148.800003,146.199997,147.399994,147.399994,6244.0
59,2000-08-04,147.0,147.399994,146.199997,146.699997,146.699997,3683.0
60,2000-08-07,147.100006,147.399994,145.199997,146.0,146.0,4871.0
61,2000-08-08,146.5,147.300003,146.199997,147.199997,147.199997,3842.0
62,2000-08-09,146.300003,147.199997,146.100006,147.100006,147.100006,5320.0
63,2000-08-10,147.600006,149.899994,147.600006,149.0,149.0,6723.0
64,2000-08-11,149.800003,152.800003,148.0,151.199997,151.199997,5486.0
65,2000-08-14,151.0,152.399994,150.699997,152.0,152.0,4412.0
66,2000-08-15,152.5,154.699997,151.600006,154.300003,154.300003,3756.0
67,2000-08-16,154.600006,156.800003,154.600006,156.399994,156.399994,4872.0
68,2000-08-17,156.600006,157.100006,154.600006,155.300003,155.300003,8811.0
69,2000-08-18,154.800003,155.600006,153.399994,154.300003,154.300003,5361.0
70,2000-08-21,154.199997,156.699997,153.100006,156.399994,156.399994,4748.0
71,2000-08-22,157.399994,158.0,155.0,155.600006,155.600006,6636.0
72,2000-08-23,155.300003,157.5,154.699997,157.399994,157.399994,6672.0
73,2000-08-24,158.0,160.5,157.199997,160.0,160.0,10124.0
74,2000-08-25,159.800003,161.5,159.800003,160.899994,160.899994,8219.0
75,2000-08-28,163.199997,164.600006,162.0,163.5,163.5,6065.0
76,2000-08-29,164.800003,167.199997,164.5,166.899994,166.899994,1.0
77,2000-08-30,161.0,162.399994,161.0,166.600006,166.600006,5300.0
78,2000-08-31,167.699997,171.0,167.699997,170.800003,170.800003,5.0
79,2000-09-01,170.800003,170.800003,170.800003,170.800003,170.800003,5.0
81,2000-09-05,170.800003,170.800003,170.800003,171.899994,171.899994,8.0
82,2000-09-06,167.0,167.0,166.800003,167.0,167.0,1.0
83,2000-09-07,164.800003,164.800003,164.800003,164.800003,164.800003,3.0
85,2000-09-11,168.199997,168.199997,168.199997,168.199997,168.199997,1.0
86,2000-09-12,170.899994,170.899994,170.899994,170.899994,170.899994,1.0
87,2000-09-13,170.899994,170.899994,170.899994,172.899994,172.899994,1.0
88,2000-09-14,170.899994,170.899994,170.899994,173.0,173.0,5.0
89,2000-09-15,167.5,167.5,167.5,167.5,167.5,31.0
90,2000-09-18,167.0,167.0,166.899994,166.899994,166.899994,31.0
92,2000-09-20,167.0,167.0,166.899994,167.800003,167.800003,31.0
93,2000-09-21,167.0,167.0,166.899994,170.800003,170.800003,5.0
95,2000-09-25,172.300003,173.5,172.300003,173.5,173.5,5.0
96,2000-09-26,174.0,174.0,174.0,174.0,174.0,5.0
98,2000-09-28,174.0,174.0,174.0,172.699997,172.699997,5.0
100,2000-10-02,174.0,174.0,174.0,173.600006,173.600006,5.0
101,2000-10-03,174.0,174.0,174.0,172.699997,172.699997,5.0
103,2000-10-05,174.0,174.0,174.0,171.899994,171.899994,5.0
105,2000-10-09,174.0,174.0,174.0,167.399994,167.399994,5.0
106,2000-10-10,174.0,174.0,174.0,168.800003,168.800003,5.0
107,2000-10-11,174.0,174.0,174.0,168.0,168.0,5.0
108,2000-10-12,174.0,174.0,174.0,167.399994,167.399994,43.0
110,2000-10-16,162.600006,162.699997,162.5,162.699997,162.699997,11.0
111,2000-10-17,163.100006,163.100006,163.100006,163.100006,163.100006,50.0
112,2000-10-18,166.600006,166.600006,166.0,166.600006,166.600006,4.0
113,2000-10-19,168.199997,168.199997,167.399994,167.399994,167.399994,4.0
114,2000-10-20,171.399994,172.399994,171.399994,172.399994,172.399994,27.0
115,2000-10-23,170.0,170.0,169.5,169.5,169.5,11.0
116,2000-10-24,167.5,167.5,167.5,167.5,167.5,11.0
117,2000-10-25,167.5,167.5,167.5,169.899994,169.899994,11.0
118,2000-10-26,167.5,167.5,167.5,167.199997,167.199997,11.0
119,2000-10-27,167.5,167.5,167.5,165.600006,165.600006,9.0
120,2000-10-30,166.0,166.0,165.399994,165.399994,165.399994,5.0
121,2000-10-31,166.600006,166.699997,166.600006,166.699997,166.699997,71.0
123,2000-11-02,169.600006,171.5,169.600006,170.800003,170.800003,71.0
124,2000-11-03,169.600006,171.5,169.600006,171.300003,171.300003,33.0
125,2000-11-06,172.399994,174.0,172.399994,173.899994,173.899994,18.0
126,2000-11-07,174.600006,174.600006,174.0,174.0,174.0,6.0
127,2000-11-08,174.300003,174.300003,173.5,173.5,173.5,7.0
128,2000-11-09,171.5,171.899994,171.5,171.5,171.5,10.0
129,2000-11-10,168.0,168.100006,166.899994,168.100006,168.100006,144.0
130,2000-11-13,165.300003,166.0,164.800003,165.0,165.0,42.0
131,2000-11-14,168.199997,169.199997,168.199997,169.199997,169.199997,26.0
132,2000-11-15,169.800003,170.5,169.0,169.5,169.5,3.0
133,2000-11-16,170.5,170.5,170.399994,170.399994,170.399994,3.0
134,2000-11-17,169.600006,169.600006,169.600006,169.600006,169.600006,98.0
135,2000-11-20,176.300003,178.5,176.0,178.5,178.5,40.0
136,2000-11-21,179.899994,183.0,179.5,180.0,180.0,40.0
137,2000-11-22,179.899994,183.0,179.5,177.0,177.0,181.0
139,2000-11-24,179.5,182.5,179.5,182.5,182.5,14.0
140,2000-11-27,187.600006,187.600006,186.699997,187.399994,187.399994,12.0
141,2000-11-28,187.399994,187.399994,185.699997,187.300003,187.300003,12.0
142,2000-11-29,187.399994,187.399994,185.699997,187.600006,187.600006,30.0
144,2000-12-01,193.5,193.5,193.0,193.5,193.5,3.0
145,2000-12-04,193.800003,193.800003,193.800003,193.800003,193.800003,4.0
146,2000-12-05,191.0,191.0,190.0,190.0,190.0,4.0
147,2000-12-06,191.0,191.0,190.0,190.100006,190.100006,20.0
149,2000-12-08,187.0,187.0,186.5,186.5,186.5,1.0
150,2000-12-11,189.100006,189.100006,189.100006,189.100006,189.100006,1.0
151,2000-12-12,189.100006,189.100006,189.100006,191.399994,191.399994,17.0
152,2000-12-13,193.0,193.0,193.0,193.0,193.0,17.0
153,2000-12-14,193.0,193.0,193.0,194.399994,194.399994,3.0
154,2000-12-15,188.800003,189.300003,188.800003,189.300003,189.300003,4.0
155,2000-12-18,190.0,190.5,190.0,190.5,190.5,3.0
156,2000-12-19,192.0,192.0,191.5,191.5,191.5,24.0
157,2000-12-20,192.300003,192.300003,192.300003,192.300003,192.300003,20.0
158,2000-12-21,192.800003,192.800003,192.399994,192.399994,192.399994,11.0
