,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-03-15,17.049999,17.129999,16.809999,16.85,16.85,11147.0
1,2000-03-16,16.790001,17.219999,16.639999,16.940001,16.940001,12610.0
2,2000-03-17,17.1,17.9,17.0,17.85,17.85,24579.0
3,2000-03-20,17.5,17.6,17.26,17.459999,17.459999,10960.0
4,2000-03-21,17.43,17.459999,17.219999,17.27,17.27,8102.0
5,2000-03-22,17.370001,17.58,17.35,17.5,17.5,13603.0
6,2000-03-23,17.450001,17.459999,17.08,17.16,17.16,11334.0
7,2000-03-24,17.139999,17.5,17.0,17.4,17.4,7382.0
8,2000-03-27,17.35,17.700001,17.35,17.6,17.6,5908.0
9,2000-03-28,17.6,17.700001,17.459999,17.5,17.5,7022.0
10,2000-03-29,17.459999,17.99,17.35,17.790001,17.790001,11509.0
11,2000-03-30,17.799999,18.0,17.75,17.879999,17.879999,11292.0
12,2000-03-31,17.879999,18.48,17.84,18.309999,18.309999,14586.0
13,2000-04-03,18.299999,18.700001,18.299999,18.540001,18.540001,11605.0
14,2000-04-04,18.51,18.549999,18.120001,18.389999,18.389999,9385.0
15,2000-04-05,18.43,18.52,18.27,18.48,18.48,7947.0
16,2000-04-06,18.450001,18.5,17.780001,17.84,17.84,11317.0
17,2000-04-07,17.889999,18.0,17.549999,17.969999,17.969999,6876.0
18,2000-04-10,17.809999,17.91,17.690001,17.77,17.77,5881.0
19,2000-04-11,17.75,18.059999,17.68,17.73,17.73,12105.0
20,2000-04-12,17.709999,18.02,17.66,17.969999,17.969999,7148.0
21,2000-04-13,17.940001,18.35,17.940001,18.290001,18.290001,7439.0
22,2000-04-14,18.49,18.559999,18.15,18.17,18.17,8131.0
23,2000-04-17,18.059999,18.23,18.02,18.09,18.09,7428.0
24,2000-04-18,18.120001,18.35,18.0,18.33,18.33,14561.0
25,2000-04-19,18.379999,18.65,18.200001,18.57,18.57,12411.0
26,2000-04-20,18.57,18.610001,18.309999,18.559999,18.559999,9101.0
27,2000-04-21,18.5649995,18.6300005,18.3149995,18.5249995,18.5249995,9380.0
28,2000-04-24,18.559999,18.65,18.32,18.49,18.49,9659.0
29,2000-04-25,18.5,18.5,18.280001,18.290001,18.290001,13454.0
30,2000-04-26,18.309999,18.379999,18.01,18.02,18.02,11931.0
31,2000-04-27,17.9,17.9,17.549999,17.67,17.67,13133.0
32,2000-04-28,17.6,17.690001,17.469999,17.610001,17.610001,7039.0
33,2000-05-01,17.83,18.450001,17.83,18.16,18.16,4301.0
34,2000-05-02,18.200001,18.33,18.059999,18.15,18.15,4656.0
35,2000-05-03,18.18,18.6,18.18,18.209999,18.209999,4426.0
36,2000-05-04,18.200001,18.370001,18.02,18.200001,18.200001,1413.0
37,2000-05-05,18.01,18.040001,17.84,17.879999,17.879999,1888.0
38,2000-05-08,17.700001,17.75,17.450001,17.620001,17.620001,2616.0
39,2000-05-09,17.48,17.690001,17.48,17.639999,17.639999,2027.0
40,2000-05-10,17.709999,17.879999,17.5,17.639999,17.639999,783.0
41,2000-05-11,17.6,17.6,17.450001,17.51,17.51,1207.0
42,2000-05-12,17.4,17.4,17.15,17.190001,17.190001,13892.0
43,2000-05-15,17.34,17.34,16.49,17.030001,17.030001,28729.0
44,2000-05-16,17.01,17.309999,16.959999,17.0,17.0,9481.0
45,2000-05-17,17.0,17.18,16.75,17.049999,17.049999,10536.0
46,2000-05-18,17.25,17.440001,17.07,17.23,17.23,10536.0
47,2000-05-19,17.08,17.299999,17.08,17.190001,17.190001,5533.0
48,2000-05-22,17.040001,17.299999,17.0,17.209999,17.209999,6395.0
49,2000-05-23,17.15,17.299999,17.129999,17.24,17.24,6476.0
50,2000-05-24,17.200001,17.27,16.969999,17.17,17.17,9528.0
51,2000-05-25,17.030001,17.08,16.700001,16.76,16.76,19416.0
52,2000-05-26,16.790001,16.870001,16.639999,16.66,16.66,8804.0
53,2000-05-29,16.6950005,16.735000499999998,16.2399995,16.259999999999998,16.259999999999998,15345.5
54,2000-05-30,16.6,16.6,15.84,15.86,15.86,21887.0
55,2000-05-31,15.86,16.040001,15.86,15.87,15.87,16017.0
56,2000-06-01,15.97,16.24,15.97,16.209999,16.209999,8202.0
57,2000-06-02,16.219999,16.82,16.18,16.76,16.76,12809.0
58,2000-06-05,16.82,16.85,16.459999,16.52,16.52,11782.0
59,2000-06-06,16.58,16.58,16.299999,16.440001,16.440001,11112.0
60,2000-06-07,16.5,16.6,16.200001,16.299999,16.299999,11055.0
61,2000-06-08,16.299999,16.549999,16.26,16.5,16.5,7463.0
62,2000-06-09,16.41,16.540001,16.34,16.360001,16.360001,8439.0
63,2000-06-12,16.24,16.32,15.95,16.299999,16.299999,12252.0
64,2000-06-13,16.299999,16.42,16.08,16.110001,16.110001,12296.0
65,2000-06-14,16.08,16.15,15.9,16.110001,16.110001,8988.0
66,2000-06-15,16.08,16.370001,16.08,16.209999,16.209999,13892.0
67,2000-06-16,16.27,16.5,16.27,16.450001,16.450001,8542.0
68,2000-06-19,16.450001,16.700001,16.42,16.59,16.59,9437.0
69,2000-06-20,16.6,16.65,16.459999,16.610001,16.610001,7487.0
70,2000-06-21,16.620001,16.75,16.549999,16.639999,16.639999,11473.0
71,2000-06-22,16.549999,16.719999,16.379999,16.41,16.41,9010.0
72,2000-06-23,16.4,16.4,16.110001,16.129999,16.129999,7639.0
73,2000-06-26,16.110001,16.190001,15.75,15.96,15.96,11399.0
74,2000-06-27,16.08,16.08,15.97,15.98,15.98,8159.0
75,2000-06-28,16.1,16.120001,15.9,15.96,15.96,12269.0
76,2000-06-29,15.96,16.190001,15.93,15.99,15.99,16423.0
77,2000-06-30,15.96,16.0,15.81,15.86,15.86,9225.0
78,2000-07-03,15.85,15.85,15.41,15.42,15.42,7271.0
79,2000-07-04,15.64,15.715,15.395,15.475,15.475,8338.0
80,2000-07-05,15.43,15.58,15.38,15.53,15.53,9405.0
81,2000-07-06,15.53,15.53,15.35,15.37,15.37,7001.0
82,2000-07-07,15.65,15.65,15.45,15.57,15.57,3605.0
83,2000-07-10,15.45,15.8,15.25,15.8,15.8,3247.0
84,2000-07-11,15.76,15.78,15.61,15.65,15.65,3446.0
85,2000-07-12,15.6,15.67,15.55,15.63,15.63,2896.0
86,2000-07-13,15.65,15.74,15.48,15.52,15.52,442.0
87,2000-07-14,15.52,15.52,15.33,15.42,15.42,2057.0
88,2000-07-17,15.89,15.89,15.49,15.62,15.62,1277.0
89,2000-07-18,15.7,15.74,15.52,15.53,15.53,2978.0
90,2000-07-19,15.5,15.75,15.49,15.57,15.57,1413.0
91,2000-07-20,15.66,15.79,15.62,15.68,15.68,2909.0
92,2000-07-21,15.75,15.83,15.69,15.83,15.83,3305.0
93,2000-07-24,15.83,16.030001,15.68,15.69,15.69,3437.0
94,2000-07-25,15.65,15.7,15.52,15.56,15.56,6419.0
95,2000-07-26,15.62,15.65,15.5,15.52,15.52,5079.0
96,2000-07-27,15.73,15.73,15.5,15.58,15.58,5382.0
97,2000-07-28,15.72,15.84,15.5,15.54,15.54,10803.0
98,2000-07-31,15.41,15.59,15.38,15.58,15.58,8910.0
99,2000-08-01,15.61,15.68,15.47,15.59,15.59,8647.0
100,2000-08-02,15.66,15.73,15.59,15.67,15.67,7724.0
101,2000-08-03,15.55,15.6,15.34,15.41,15.41,8726.0
102,2000-08-04,15.35,15.47,15.28,15.3,15.3,7010.0
103,2000-08-07,15.43,15.47,15.14,15.2,15.2,8459.0
104,2000-08-08,15.28,15.34,15.19,15.33,15.33,6284.0
105,2000-08-09,15.28,15.34,15.22,15.24,15.24,3905.0
106,2000-08-10,15.17,15.38,15.17,15.24,15.24,2893.0
107,2000-08-11,15.16,15.37,15.13,15.24,15.24,4357.0
108,2000-08-14,16.219999,15.31,15.2,15.29,15.29,3063.0
109,2000-08-15,15.24,15.35,15.2,15.23,15.23,3024.0
110,2000-08-16,15.23,15.57,15.18,15.55,15.55,5992.0
111,2000-08-17,15.58,15.65,15.31,15.33,15.33,5523.0
112,2000-08-18,15.33,15.33,15.2,15.27,15.27,6410.0
113,2000-08-21,15.22,15.36,15.15,15.21,15.21,2676.0
114,2000-08-22,15.21,15.32,15.15,15.16,15.16,6149.0
115,2000-08-23,15.17,15.2,15.01,15.11,15.11,6026.0
116,2000-08-24,15.11,15.17,15.02,15.14,15.14,5910.0
117,2000-08-25,15.18,15.23,15.04,15.07,15.07,4035.0
118,2000-08-28,15.22,15.27,15.11,15.14,15.14,4259.0
119,2000-08-29,15.25,15.65,15.25,15.54,15.54,6328.0
120,2000-08-30,15.5,15.8,15.33,15.54,15.54,8880.0
121,2000-08-31,15.72,15.77,15.51,15.75,15.75,32.0
122,2000-09-01,15.6525,15.69,15.495,15.675,15.675,85.5
123,2000-09-04,15.585,15.61,15.48,15.6,15.6,139.0
124,2000-09-05,15.5175,15.53,15.465,15.524999999999999,15.524999999999999,192.5
125,2000-09-06,15.45,15.45,15.45,15.45,15.45,246.0
126,2000-09-07,15.28,15.28,15.28,15.28,15.28,814.0
127,2000-09-08,15.372499999999999,15.372499999999999,15.372499999999999,15.372499999999999,15.372499999999999,611.5
128,2000-09-11,15.465,15.465,15.465,15.465,15.465,409.0
129,2000-09-12,15.557500000000001,15.557500000000001,15.557500000000001,15.557500000000001,15.557500000000001,206.5
130,2000-09-13,15.65,15.65,15.65,15.65,15.65,4.0
131,2000-09-14,15.59,15.59,15.59,15.574,15.574,4.0
132,2000-09-15,15.53,15.53,15.53,15.498,15.498,4.0
133,2000-09-18,15.47,15.47,15.47,15.422,15.422,4.0
134,2000-09-19,15.41,15.41,15.41,15.346,15.346,4.0
135,2000-09-20,15.35,15.35,15.35,15.27,15.27,4.0
136,2000-09-21,15.35,15.35,15.35,15.36,15.36,1.0
137,2000-09-22,15.34375,15.34375,15.34375,15.3525,15.3525,1.0
138,2000-09-25,15.3375,15.3375,15.3375,15.344999999999999,15.344999999999999,1.0
139,2000-09-26,15.33125,15.33125,15.33125,15.3375,15.3375,1.0
140,2000-09-27,15.325,15.325,15.325,15.33,15.33,1.0
141,2000-09-28,15.31875,15.31875,15.31875,15.3225,15.3225,1.0
142,2000-09-29,15.3125,15.3125,15.3125,15.315000000000001,15.315000000000001,1.0
143,2000-10-02,15.30625,15.30625,15.30625,15.307500000000001,15.307500000000001,1.0
144,2000-10-03,15.3,15.3,15.3,15.3,15.3,1.0
145,2000-10-04,15.3,15.3,15.3,15.23,15.23,1.0
146,2000-10-05,15.3,15.3,15.3,15.193333333333333,15.193333333333333,1.0
147,2000-10-06,15.3,15.3,15.3,15.156666666666666,15.156666666666666,1.0
148,2000-10-09,15.3,15.3,15.3,15.12,15.12,1.0
149,2000-10-10,15.3,15.3,15.3,15.18,15.18,1.0
150,2000-10-11,15.3,15.3,15.3,15.07,15.07,4.0
151,2000-10-12,15.35,15.35,15.35,14.95,14.95,36.0
152,2000-10-13,15.225,15.245000000000001,15.225,15.045,15.045,21.0
153,2000-10-16,15.1,15.14,15.1,15.14,15.14,6.0
154,2000-10-17,15.05,15.05,15.05,15.05,15.05,6.0
155,2000-10-18,15.02,15.02,14.87,14.9,14.9,15.0
156,2000-10-19,14.83,14.9,14.83,14.9,14.9,21.0
157,2000-10-20,14.73,14.73,14.71,14.71,14.71,21.0
158,2000-10-23,14.73,14.73,14.71,14.79,14.79,1.0
159,2000-10-24,14.725000000000001,14.725000000000001,14.715,14.754999999999999,14.754999999999999,1.0
160,2000-10-25,14.72,14.72,14.72,14.72,14.72,1.0
161,2000-10-26,14.71,14.715,14.71,14.71,14.71,30.5
162,2000-10-27,14.7,14.71,14.7,14.7,14.7,60.0
163,2000-10-30,14.67,14.67,14.67,14.67,14.67,16.0
164,2000-10-31,14.61,14.61,14.6,14.6,14.6,39.0
165,2000-11-01,14.774999999999999,14.8,14.77,14.785,14.785,21.0
166,2000-11-02,14.94,14.99,14.94,14.97,14.97,3.0
167,2000-11-03,15.024999999999999,15.05,15.02,15.035,15.035,2.5
168,2000-11-06,15.11,15.11,15.1,15.1,15.1,2.0
169,2000-11-07,15.24,15.24,15.24,15.24,15.24,2.0
170,2000-11-08,15.24,15.24,15.24,15.2,15.2,4.0
171,2000-11-09,15.26,15.26,15.26,15.26,15.26,2.0
172,2000-11-10,15.06,15.06,15.06,15.06,15.06,9.0
173,2000-11-13,14.95,14.95,14.93,14.93,14.93,23.0
174,2000-11-14,15.05,15.06,15.05,15.06,15.06,12.0
175,2000-11-15,15.24,15.3,15.24,15.24,15.24,19.0
176,2000-11-16,15.4,15.41,15.4,15.41,15.41,1.0
177,2000-11-17,15.12,15.12,15.12,15.12,15.12,10.0
178,2000-11-20,15.18,15.18,15.18,15.18,15.18,24.0
179,2000-11-21,15.09,15.09,15.03,15.08,15.08,1.0
180,2000-11-22,15.13,15.13,15.13,15.06,15.06,6.0
181,2000-11-23,15.073333333333334,15.073333333333334,15.07,15.023333333333333,15.023333333333333,12.333333333333332
182,2000-11-24,15.016666666666667,15.016666666666667,15.01,14.986666666666666,14.986666666666666,18.666666666666664
183,2000-11-27,14.96,14.96,14.95,14.95,14.95,25.0
184,2000-11-28,14.5,14.5,14.48,14.49,14.49,2.0
185,2000-11-29,14.465,14.465,14.455,14.46,14.46,1.5
