,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-09-15,491.0,493.75,490.0,493.75,493.75,445.0
1,2000-09-18,483.25,486.0,482.5,484.0,484.0,382.0
2,2000-09-19,485.0,485.5,483.5,484.25,484.25,325.0
3,2000-09-20,483.5,484.25,483.25,483.25,483.25,321.0
4,2000-09-21,486.75,488.0,486.0,486.5,486.5,330.0
5,2000-09-22,490.0,491.5,489.5,491.0,491.0,293.0
6,2000-09-25,495.75,496.5,494.0,496.5,496.5,178.0
7,2000-09-26,494.5,496.5,494.5,496.5,496.5,208.0
8,2000-09-27,493.25,494.5,492.5,492.5,492.5,328.0
9,2000-09-28,495.25,497.0,495.25,497.0,497.0,379.0
10,2000-09-29,498.0,499.0,497.5,499.0,499.0,799.0
11,2000-10-02,488.25,488.75,486.0,488.5,488.5,258.0
12,2000-10-03,489.25,489.25,487.75,488.5,488.5,435.0
13,2000-10-04,488.25,489.0,487.0,489.0,489.0,233.0
14,2000-10-05,485.5,485.75,485.25,485.75,485.75,266.0
15,2000-10-06,484.0,486.0,484.0,486.0,486.0,231.0
16,2000-10-09,484.0,484.5,483.25,484.5,484.5,187.0
17,2000-10-10,482.75,483.0,482.5,483.0,483.0,311.0
18,2000-10-11,485.0,485.5,485.0,485.0,485.0,1017.0
19,2000-10-12,477.75,479.5,476.0,478.0,478.0,422.0
20,2000-10-13,473.75,474.5,473.0,473.25,473.25,372.0
21,2000-10-16,465.25,466.0,465.0,465.0,465.0,509.0
22,2000-10-17,465.0,467.75,464.75,467.75,467.75,167.0
23,2000-10-18,467.75,468.0,467.0,468.0,468.0,302.0
24,2000-10-19,468.0,468.0,467.25,468.0,468.0,309.0
25,2000-10-20,472.0,474.25,472.0,473.25,473.25,136.0
26,2000-10-23,468.0,468.5,467.5,468.5,468.5,142.0
27,2000-10-24,462.5,464.0,462.5,463.5,463.5,178.0
28,2000-10-25,467.75,468.5,467.0,467.25,467.25,123.0
29,2000-10-26,467.0,468.25,467.0,467.0,467.0,94.0
30,2000-10-27,461.0,462.0,461.0,461.0,461.0,141.0
31,2000-10-30,456.5,458.0,456.5,457.75,457.75,228.0
32,2000-10-31,455.75,456.0,454.75,455.25,455.25,10948.0
33,2000-11-01,459.5,466.25,459.0,462.75,462.75,124.0
34,2000-11-02,464.5,469.25,464.5,468.25,468.25,21.0
35,2000-11-03,473.0,474.0,472.75,473.5,473.5,9.0
36,2000-11-06,474.25,475.0,474.25,475.0,475.0,4.0
37,2000-11-07,474.0,474.0,473.25,473.5,473.5,6.0
38,2000-11-08,474.75,475.5,474.75,475.5,475.5,1.0
39,2000-11-09,474.0,474.5,474.0,474.0,474.0,1.0
40,2000-11-10,474.0,474.0,474.0,467.25,467.25,2.0
41,2000-11-13,462.5,462.75,462.25,462.5,462.5,14.0
42,2000-11-14,467.5,467.5,467.25,472.0,472.0,319.0
43,2000-11-15,479.0,480.0,478.5,478.5,478.5,256.0
44,2000-11-16,481.0,481.5,480.0,481.0,481.0,57.0
45,2000-11-17,477.0,479.0,477.0,479.0,479.0,300.0
46,2000-11-20,486.25,490.75,486.25,490.75,490.75,382.0
47,2000-11-21,493.0,493.0,491.25,491.25,491.25,232.0
48,2000-11-22,489.0,489.5,488.5,491.0,491.0,501.0
50,2000-11-24,492.0,495.25,492.0,495.25,495.25,354.0
51,2000-11-27,500.5,508.0,500.25,507.5,507.5,195.0
52,2000-11-28,497.0,497.25,496.0,497.0,497.0,795.0
53,2000-11-29,500.5,505.5,498.75,505.5,505.5,303.0
54,2000-11-30,499.25,503.75,499.25,502.0,502.0,386.0
55,2000-12-01,506.5,507.5,505.0,506.75,506.75,325.0
56,2000-12-04,508.0,508.0,503.5,505.25,505.25,159.0
57,2000-12-05,504.0,504.0,501.5,502.0,502.0,249.0
58,2000-12-06,500.0,500.0,498.5,499.75,499.75,892.0
59,2000-12-07,507.0,510.0,506.75,509.75,509.75,311.0
60,2000-12-08,503.0,503.0,499.5,500.0,500.0,411.0
61,2000-12-11,510.0,511.0,508.5,509.0,509.0,277.0
62,2000-12-12,511.0,513.75,511.0,512.0,512.0,141.0
63,2000-12-13,506.25,507.5,505.5,506.0,506.0,166.0
64,2000-12-14,506.0,508.75,506.0,508.75,508.75,76.0
65,2000-12-15,504.0,506.0,503.5,505.0,505.0,579.0
66,2000-12-18,508.5,513.0,508.0,513.0,513.0,76.0
67,2000-12-19,509.75,510.0,508.0,508.0,508.0,183.0
68,2000-12-20,511.0,512.0,510.0,512.0,512.0,35.0
69,2000-12-21,507.75,508.5,506.5,507.25,507.25,73.0
70,2000-12-22,509.0,511.75,509.0,511.0,511.0,27547.0
72,2000-12-26,510.0,510.75,504.75,505.25,505.25,198.0
73,2000-12-27,503.75,503.75,499.5,501.75,501.75,39.0
74,2000-12-28,498.0,499.0,498.0,499.0,499.0,43.0
75,2000-12-29,497.5,499.0,497.5,499.0,499.0,4.0
77,2001-01-02,500.0,500.5,500.0,500.0,500.0,5.0
78,2001-01-03,493.75,493.75,493.75,493.75,493.75,3.0
79,2001-01-04,498.0,499.5,498.0,499.5,499.5,7.0
80,2001-01-05,493.0,493.75,493.0,493.75,493.75,11.0
81,2001-01-08,488.0,488.0,488.0,488.0,488.0,11.0
82,2001-01-09,488.0,488.0,488.0,491.0,491.0,1021.0
83,2001-01-10,494.0,494.75,489.5,490.5,490.5,3.0
84,2001-01-11,482.0,482.0,480.0,482.0,482.0,0.0
85,2001-01-12,480.5,482.0,476.0,479.25,479.25,268.0
87,2001-01-16,482.0,482.5,480.0,481.0,481.0,415.0
88,2001-01-17,476.75,477.0,475.0,477.0,477.0,237.0
89,2001-01-18,472.5,474.75,472.0,473.5,473.5,454.0
90,2001-01-19,473.25,476.0,473.0,476.0,476.0,237.0
91,2001-01-22,470.25,470.75,469.25,469.5,469.5,454.0
92,2001-01-23,476.25,477.5,476.0,477.5,477.5,193.0
93,2001-01-24,467.75,468.5,467.25,468.0,468.0,146.0
94,2001-01-25,469.75,470.0,469.0,469.0,469.0,193.0
95,2001-01-26,465.0,467.0,465.0,467.0,467.0,146.0
