,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-03-04,59.700001,59.875,59.599998,59.650002,59.650002,0.0
1,2002-03-05,59.150002,59.150002,58.700001,58.799999,58.799999,0.0
2,2002-03-06,58.5,58.799999,57.700001,57.700001,57.700001,0.0
3,2002-03-07,58.200001,58.599998,58.0,58.400002,58.400002,0.0
4,2002-03-08,58.25,58.25,57.900002,58.049999,58.049999,0.0
5,2002-03-11,57.924999,58.025002,57.575001,57.575001,57.575001,0.0
6,2002-03-12,57.349998,57.549999,57.25,57.275002,57.275002,0.0
7,2002-03-13,57.200001,57.200001,56.625,56.700001,56.700001,0.0
8,2002-03-14,56.775002,56.825001,56.200001,56.724998,56.724998,0.0
9,2002-03-15,55.075001,55.224998,55.025002,55.075001,55.075001,0.0
10,2002-03-18,55.075001,55.224998,53.25,55.075001,55.075001,0.0
11,2002-03-19,53.424999,53.424999,52.799999,52.549999,52.549999,0.0
12,2002-03-20,52.799999,52.799999,52.799999,52.799999,52.799999,0.0
13,2002-03-21,53.474998,53.474998,53.474998,53.474998,53.474998,0.0
14,2002-03-22,52.950001,52.950001,52.950001,52.950001,52.950001,0.0
15,2002-03-25,53.275002,53.275002,53.275002,53.275002,53.275002,0.0
16,2002-03-26,52.900002,52.900002,52.900002,52.900002,52.900002,0.0
17,2002-03-27,52.799999,52.875,52.575001,52.549999,52.549999,0.0
18,2002-03-28,51.875,51.875,51.875,51.875,51.875,0.0
20,2002-04-01,51.0,51.25,51.0,51.049999,51.049999,0.0
21,2002-04-02,49.549999,49.575001,49.549999,49.575001,49.575001,0.0
22,2002-04-03,48.875,48.950001,47.950001,47.700001,47.700001,0.0
23,2002-04-04,47.025002,47.200001,46.799999,46.950001,46.950001,0.0
24,2002-04-05,45.974998,45.974998,45.974998,45.974998,45.974998,0.0
25,2002-04-08,45.224998,45.224998,45.224998,43.974998,43.974998,0.0
26,2002-04-09,43.424999,43.424999,42.700001,42.525002,42.525002,0.0
27,2002-04-10,41.450001,41.450001,41.450001,41.450001,41.450001,0.0
28,2002-04-11,41.775002,41.775002,41.775002,41.775002,41.775002,0.0
29,2002-04-12,41.950001,41.950001,41.950001,41.950001,41.950001,0.0
30,2002-04-15,48.224998,48.224998,48.224998,48.224998,48.224998,0.0
31,2002-04-16,48.349998,48.349998,48.349998,48.349998,48.349998,0.0
32,2002-04-17,50.349998,50.349998,50.349998,50.349998,50.349998,0.0
33,2002-04-18,51.950001,51.950001,51.950001,51.950001,51.950001,0.0
34,2002-04-19,53.75,53.75,53.75,53.75,53.75,0.0
35,2002-04-22,53.200001,53.200001,53.200001,53.200001,53.200001,0.0
36,2002-04-23,51.200001,51.200001,51.200001,51.200001,51.200001,0.0
37,2002-04-24,50.525002,50.525002,50.525002,50.525002,50.525002,0.0
38,2002-04-25,49.724998,49.724998,49.724998,49.724998,49.724998,0.0
39,2002-04-26,47.724998,47.724998,47.724998,47.724998,47.724998,0.0
40,2002-04-29,45.724998,45.724998,45.724998,45.724998,45.724998,0.0
41,2002-04-30,45.599998,45.599998,45.599998,45.599998,45.599998,0.0
42,2002-05-01,44.799999,44.799999,44.799999,44.799999,44.799999,0.0
43,2002-05-02,46.049999,46.049999,46.049999,46.049999,46.049999,0.0
44,2002-05-03,46.974998,46.974998,46.974998,46.974998,46.974998,0.0
45,2002-05-06,47.299999,47.349998,46.799999,46.825001,46.825001,0.0
46,2002-05-07,47.0,47.0,46.400002,46.75,46.75,0.0
47,2002-05-08,45.400002,45.400002,45.400002,45.400002,45.400002,0.0
48,2002-05-09,45.799999,45.799999,45.799999,45.799999,45.799999,0.0
49,2002-05-10,45.950001,45.950001,45.950001,45.950001,45.950001,0.0
50,2002-05-13,46.299999,46.299999,46.299999,46.299999,46.299999,0.0
51,2002-05-14,46.400002,46.400002,46.400002,46.400002,46.400002,0.0
52,2002-05-15,53.775002,53.775002,53.775002,53.775002,53.775002,0.0
53,2002-05-16,53.349998,53.375,53.099998,52.825001,52.825001,0.0
54,2002-05-17,53.174999,53.174999,53.174999,53.174999,53.174999,0.0
55,2002-05-20,51.174999,51.174999,51.174999,51.174999,51.174999,0.0
56,2002-05-21,49.174999,49.174999,49.174999,49.174999,49.174999,0.0
57,2002-05-22,47.875,47.875,47.875,47.875,47.875,0.0
58,2002-05-23,48.525002,48.525002,48.525002,48.525002,48.525002,0.0
59,2002-05-24,48.375,48.375,48.375,48.375,48.375,0.0
61,2002-05-28,46.375,46.375,46.375,46.375,46.375,0.0
62,2002-05-29,46.424999,46.424999,46.424999,46.424999,46.424999,0.0
63,2002-05-30,46.150002,46.150002,46.150002,46.150002,46.150002,0.0
64,2002-05-31,46.75,46.75,46.75,46.75,46.75,0.0
65,2002-06-03,47.474998,47.474998,47.474998,47.474998,47.474998,0.0
66,2002-06-04,46.474998,46.474998,46.474998,46.474998,46.474998,0.0
67,2002-06-05,46.950001,46.950001,46.950001,46.950001,46.950001,0.0
68,2002-06-06,48.549999,48.950001,48.549999,48.799999,48.799999,0.0
69,2002-06-07,49.875,49.875,49.875,49.875,49.875,0.0
70,2002-06-10,48.849998,48.849998,48.849998,48.849998,48.849998,0.0
71,2002-06-11,48.724998,48.724998,48.724998,48.724998,48.724998,0.0
72,2002-06-12,48.25,48.25,48.25,48.25,48.25,0.0
73,2002-06-13,48.375,48.375,48.375,48.375,48.375,0.0
74,2002-06-14,48.599998,48.599998,48.599998,48.599998,48.599998,0.0
75,2002-06-17,49.849998,49.849998,49.849998,49.849998,49.849998,0.0
76,2002-06-18,50.700001,50.700001,50.700001,50.700001,50.700001,0.0
77,2002-06-19,50.349998,50.349998,50.349998,50.349998,50.349998,0.0
78,2002-06-20,51.575001,51.575001,51.575001,51.575001,51.575001,0.0
79,2002-06-21,51.474998,51.474998,51.474998,51.474998,51.474998,0.0
80,2002-06-24,51.724998,51.724998,51.724998,51.724998,51.724998,0.0
81,2002-06-25,50.875,50.875,50.875,50.875,50.875,0.0
82,2002-06-26,50.450001,50.474998,50.400002,50.775002,50.775002,0.0
83,2002-06-27,50.400002,50.825001,50.349998,50.625,50.625,0.0
84,2002-06-28,50.525002,50.525002,50.525002,50.525002,50.525002,0.0
85,2002-07-01,51.950001,51.950001,51.950001,51.950001,51.950001,0.0
86,2002-07-02,52.299999,52.299999,52.299999,52.299999,52.299999,0.0
87,2002-07-03,52.974998,52.974998,52.974998,52.974998,52.974998,0.0
89,2002-07-05,54.974998,54.974998,54.974998,54.974998,54.974998,0.0
90,2002-07-08,54.900002,54.900002,54.900002,54.900002,54.900002,0.0
91,2002-07-09,53.924999,53.924999,53.924999,53.924999,53.924999,0.0
92,2002-07-10,53.875,53.875,53.875,53.875,53.875,0.0
93,2002-07-11,53.950001,53.950001,53.950001,53.950001,53.950001,0.0
94,2002-07-12,54.025002,54.025002,54.025002,54.025002,54.025002,0.0
95,2002-07-15,54.299999,54.299999,54.299999,54.299999,54.299999,0.0
96,2002-07-16,50.849998,50.849998,50.849998,50.849998,50.849998,0.0
97,2002-07-17,49.799999,49.799999,49.799999,49.799999,49.799999,0.0
98,2002-07-18,51.299999,51.299999,51.299999,51.299999,51.299999,0.0
99,2002-07-19,50.674999,50.674999,50.674999,50.674999,50.674999,0.0
100,2002-07-22,49.825001,49.825001,49.825001,49.825001,49.825001,0.0
101,2002-07-23,50.275002,50.275002,50.275002,50.275002,50.275002,0.0
102,2002-07-24,49.849998,49.849998,49.849998,49.849998,49.849998,0.0
103,2002-07-25,50.700001,50.700001,50.700001,50.700001,50.700001,0.0
104,2002-07-26,50.799999,50.799999,50.799999,50.799999,50.799999,0.0
105,2002-07-29,50.849998,50.849998,50.849998,50.849998,50.849998,0.0
106,2002-07-30,51.549999,51.549999,51.549999,51.549999,51.549999,0.0
107,2002-07-31,51.775002,51.775002,51.775002,51.775002,51.775002,0.0
108,2002-08-01,50.150002,50.150002,50.150002,50.150002,50.150002,0.0
109,2002-08-02,49.775002,49.775002,49.775002,49.775002,49.775002,0.0
110,2002-08-05,48.5,48.5,48.5,48.5,48.5,0.0
111,2002-08-06,48.650002,48.650002,48.650002,48.650002,48.650002,0.0
112,2002-08-07,47.849998,47.849998,47.849998,47.849998,47.849998,0.0
113,2002-08-08,48.625,48.625,48.625,48.625,48.625,0.0
114,2002-08-09,48.875,48.875,48.875,48.875,48.875,0.0
115,2002-08-12,48.275002,48.275002,48.275002,48.275002,48.275002,0.0
116,2002-08-13,48.325001,48.325001,48.325001,48.325001,48.325001,0.0
117,2002-08-14,48.25,48.25,48.25,48.25,48.25,0.0
118,2002-08-15,36.775002,36.775002,36.775002,36.775002,36.775002,0.0
119,2002-08-16,36.575001,36.575001,36.575001,36.575001,36.575001,0.0
120,2002-08-19,36.599998,36.599998,36.599998,36.599998,36.599998,0.0
121,2002-08-20,34.599998,34.599998,34.599998,34.599998,34.599998,0.0
122,2002-08-21,34.875,34.875,34.875,34.875,34.875,0.0
123,2002-08-22,35.0,35.0,35.0,35.0,35.0,0.0
124,2002-08-23,34.549999,34.549999,34.549999,34.549999,34.549999,0.0
125,2002-08-26,32.625,32.625,32.625,32.625,32.625,0.0
126,2002-08-27,32.224998,32.224998,32.224998,32.224998,32.224998,0.0
127,2002-08-28,30.225,30.225,30.225,30.225,30.225,0.0
128,2002-08-29,30.65,30.65,30.65,30.65,30.65,0.0
129,2002-08-30,30.875,30.875,30.875,30.875,30.875,0.0
131,2002-09-03,30.049999,30.049999,30.049999,30.049999,30.049999,0.0
132,2002-09-04,31.475,31.5,31.475,31.825001,31.825001,0.0
133,2002-09-05,32.700001,32.700001,32.700001,32.700001,32.700001,0.0
134,2002-09-06,33.700001,33.700001,33.700001,33.700001,33.700001,0.0
135,2002-09-09,32.549999,32.549999,32.549999,32.549999,32.549999,0.0
136,2002-09-10,34.549999,34.549999,34.549999,34.549999,34.549999,0.0
137,2002-09-11,35.075001,35.075001,35.075001,35.075001,35.075001,0.0
138,2002-09-12,35.25,35.25,35.25,35.25,35.25,0.0
139,2002-09-13,35.525002,35.525002,35.525002,35.525002,35.525002,0.0
140,2002-09-16,35.724998,35.724998,35.724998,35.724998,35.724998,0.0
141,2002-09-17,36.049999,36.049999,36.049999,36.049999,36.049999,0.0
142,2002-09-18,36.5,36.5,36.5,36.5,36.5,0.0
143,2002-09-19,37.25,37.25,37.25,37.25,37.25,0.0
144,2002-09-20,37.025002,37.025002,37.025002,37.025002,37.025002,0.0
145,2002-09-23,35.700001,35.700001,35.700001,35.700001,35.700001,0.0
146,2002-09-24,37.200001,37.200001,37.200001,37.200001,37.200001,0.0
147,2002-09-25,38.224998,38.224998,38.224998,38.224998,38.224998,0.0
148,2002-09-26,39.224998,39.224998,39.224998,39.224998,39.224998,0.0
149,2002-09-27,39.075001,39.075001,39.075001,39.075001,39.075001,0.0
150,2002-09-30,40.200001,40.200001,40.200001,40.200001,40.200001,0.0
151,2002-10-01,40.375,40.375,40.375,40.375,40.375,0.0
152,2002-10-02,42.299999,42.299999,42.299999,42.299999,42.299999,0.0
153,2002-10-03,42.724998,42.724998,42.724998,42.724998,42.724998,0.0
154,2002-10-04,42.700001,42.700001,42.700001,42.700001,42.700001,0.0
155,2002-10-07,41.450001,41.450001,41.450001,41.450001,41.450001,0.0
156,2002-10-08,43.0,43.0,43.0,43.0,43.0,0.0
157,2002-10-09,44.275002,44.275002,44.275002,44.275002,44.275002,0.0
158,2002-10-10,45.0,45.0,45.0,45.0,45.0,0.0
159,2002-10-11,44.849998,44.875,44.849998,44.900002,44.900002,0.0
160,2002-10-14,45.025002,45.025002,45.025002,45.025002,45.025002,0.0
161,2002-10-15,42.650002,42.650002,42.650002,42.650002,42.650002,0.0
162,2002-10-16,42.174999,42.174999,42.174999,42.174999,42.174999,0.0
163,2002-10-17,41.650002,41.650002,41.650002,41.650002,41.650002,0.0
164,2002-10-18,41.125,41.125,41.125,41.125,41.125,0.0
165,2002-10-21,40.150002,40.150002,40.150002,40.150002,40.150002,0.0
166,2002-10-22,40.25,40.25,40.25,40.25,40.25,0.0
167,2002-10-23,41.950001,41.950001,41.950001,41.950001,41.950001,0.0
168,2002-10-24,40.275002,40.275002,40.275002,40.275002,40.275002,0.0
169,2002-10-25,41.174999,41.549999,40.5,40.599998,40.599998,0.0
170,2002-10-28,41.25,41.25,41.25,41.25,41.25,0.0
171,2002-10-29,40.099998,40.099998,40.099998,40.099998,40.099998,0.0
172,2002-10-30,42.099998,42.099998,42.099998,42.099998,42.099998,0.0
173,2002-10-31,43.125,43.125,43.125,43.125,43.125,0.0
174,2002-11-01,43.174999,43.174999,43.174999,43.174999,43.174999,0.0
175,2002-11-04,43.049999,43.049999,43.049999,43.049999,43.049999,0.0
176,2002-11-05,44.825001,44.825001,44.825001,44.825001,44.825001,0.0
177,2002-11-06,45.0,45.0,45.0,45.0,45.0,0.0
178,2002-11-07,45.924999,45.924999,45.924999,45.924999,45.924999,0.0
179,2002-11-08,45.900002,45.900002,45.900002,45.900002,45.900002,0.0
180,2002-11-11,46.825001,46.825001,46.825001,46.825001,46.825001,0.0
181,2002-11-12,45.099998,45.099998,45.099998,45.099998,45.099998,0.0
182,2002-11-13,45.150002,45.150002,45.150002,45.150002,45.150002,0.0
183,2002-11-14,44.599998,44.599998,44.599998,44.599998,44.599998,0.0
184,2002-11-15,45.75,45.75,45.75,45.75,45.75,0.0
185,2002-11-18,44.275002,44.275002,44.275002,44.275002,44.275002,0.0
186,2002-11-19,45.625,45.625,45.625,45.625,45.625,0.0
187,2002-11-20,46.025002,46.025002,46.025002,46.025002,46.025002,0.0
188,2002-11-21,44.900002,44.900002,44.900002,44.900002,44.900002,0.0
189,2002-11-22,45.150002,45.150002,45.150002,45.150002,45.150002,0.0
190,2002-11-25,45.200001,45.200001,45.200001,45.200001,45.200001,0.0
191,2002-11-26,45.799999,45.799999,45.799999,45.799999,45.799999,0.0
192,2002-11-27,46.400002,46.799999,46.400002,46.75,46.75,0.0
194,2002-11-29,54.200001,54.200001,54.200001,54.200001,54.200001,0.0
195,2002-12-02,54.325001,54.325001,54.325001,54.325001,54.325001,0.0
196,2002-12-03,54.924999,55.0,54.700001,54.700001,54.700001,0.0
197,2002-12-04,54.525002,54.525002,54.525002,54.525002,54.525002,0.0
198,2002-12-05,54.799999,54.799999,54.799999,54.799999,54.799999,0.0
199,2002-12-06,53.325001,53.325001,53.325001,53.325001,53.325001,0.0
200,2002-12-09,51.325001,51.325001,51.325001,51.325001,51.325001,0.0
201,2002-12-10,50.450001,50.450001,50.450001,50.450001,50.450001,0.0
202,2002-12-11,52.450001,52.450001,52.450001,52.450001,52.450001,0.0
203,2002-12-12,51.974998,51.974998,51.974998,51.974998,51.974998,0.0
204,2002-12-13,52.25,52.25,52.25,52.25,52.25,0.0
205,2002-12-16,51.825001,51.825001,51.825001,51.825001,51.825001,0.0
206,2002-12-17,52.325001,52.325001,52.325001,52.325001,52.325001,0.0
207,2002-12-18,51.224998,51.224998,51.224998,51.224998,51.224998,0.0
208,2002-12-19,51.900002,51.900002,51.900002,51.900002,51.900002,0.0
209,2002-12-20,51.799999,51.799999,51.799999,51.799999,51.799999,0.0
210,2002-12-23,53.150002,53.150002,53.150002,53.150002,53.150002,0.0
211,2002-12-24,53.150002,53.150002,53.150002,53.150002,53.150002,0.0
213,2002-12-26,53.974998,53.974998,53.974998,53.974998,53.974998,0.0
214,2002-12-27,53.5,53.5,53.5,53.5,53.5,0.0
215,2002-12-30,53.549999,53.549999,53.549999,53.549999,53.549999,0.0
216,2002-12-31,51.599998,51.599998,51.599998,51.599998,51.599998,0.0
218,2003-01-02,52.0,52.224998,51.674999,51.825001,51.825001,0.0
219,2003-01-03,52.849998,52.875,52.799999,53.075001,53.075001,0.0
220,2003-01-06,52.599998,52.650002,52.25,51.775002,51.775002,0.0
221,2003-01-07,51.75,51.75,51.75,51.75,51.75,0.0
222,2003-01-08,52.125,52.125,52.125,52.125,52.125,0.0
223,2003-01-09,53.325001,53.325001,53.325001,53.224998,53.224998,0.0
224,2003-01-10,52.450001,52.450001,52.450001,52.75,52.75,0.0
225,2003-01-13,52.474998,52.474998,52.474998,52.474998,52.474998,0.0
226,2003-01-14,53.474998,53.5,52.950001,52.825001,52.825001,0.0
227,2003-01-15,51.125,51.125,51.125,51.125,51.125,0.0
228,2003-01-16,51.825001,51.825001,51.825001,51.825001,51.825001,0.0
229,2003-01-17,50.625,50.625,50.625,50.625,50.625,0.0
231,2003-01-21,49.650002,49.650002,49.650002,49.650002,49.650002,0.0
232,2003-01-22,50.400002,50.650002,50.200001,50.474998,50.474998,0.0
233,2003-01-23,50.099998,50.650002,49.900002,50.224998,50.224998,0.0
234,2003-01-24,50.474998,50.849998,50.474998,50.875,50.875,0.0
235,2003-01-27,49.775002,49.775002,49.775002,49.775002,49.775002,0.0
236,2003-01-28,49.150002,49.150002,49.150002,49.150002,49.150002,0.0
237,2003-01-29,50.599998,50.599998,50.599998,50.599998,50.599998,0.0
238,2003-01-30,50.549999,50.700001,50.275002,50.25,50.25,0.0
239,2003-01-31,51.0,51.25,51.0,50.924999,50.924999,0.0
240,2003-02-03,50.825001,50.825001,49.575001,49.799999,49.799999,0.0
241,2003-02-04,49.125,49.125,49.125,49.125,49.125,0.0
242,2003-02-05,48.674999,48.674999,48.674999,48.674999,48.674999,0.0
243,2003-02-06,48.299999,48.299999,48.299999,48.299999,48.299999,0.0
244,2003-02-07,48.599998,48.599998,48.599998,48.450001,48.450001,0.0
245,2003-02-10,48.950001,49.0,48.950001,49.349998,49.349998,0.0
246,2003-02-11,49.0,49.099998,49.0,49.025002,49.025002,0.0
247,2003-02-12,49.0,49.075001,48.799999,48.775002,48.775002,0.0
248,2003-02-13,52.650002,52.650002,52.5,52.950001,52.950001,0.0
249,2003-02-14,52.650002,52.650002,52.650002,52.450001,52.450001,0.0
251,2003-02-18,53.099998,53.200001,52.650002,52.849998,52.849998,0.0
252,2003-02-19,52.674999,53.299999,52.674999,53.150002,53.150002,0.0
253,2003-02-20,53.049999,53.200001,52.674999,52.950001,52.950001,0.0
254,2003-02-21,52.599998,54.049999,52.049999,53.924999,53.924999,0.0
255,2003-02-24,53.724998,54.349998,53.450001,54.224998,54.224998,0.0
256,2003-02-25,53.549999,53.650002,53.25,53.299999,53.299999,0.0
257,2003-02-26,53.349998,53.974998,53.075001,53.950001,53.950001,0.0
258,2003-02-27,53.650002,53.799999,53.200001,53.275002,53.275002,0.0
259,2003-02-28,53.575001,54.950001,53.575001,54.549999,54.549999,0.0
260,2003-03-03,54.400002,54.549999,53.825001,54.375,54.375,0.0
261,2003-03-04,53.049999,53.325001,52.775002,53.150002,53.150002,0.0
262,2003-03-05,52.900002,53.825001,52.450001,52.625,52.625,0.0
263,2003-03-06,52.5,52.5,50.700001,51.875,51.875,0.0
264,2003-03-07,52.200001,52.299999,51.700001,51.924999,51.924999,0.0
265,2003-03-10,52.224998,52.424999,51.5,51.625,51.625,0.0
266,2003-03-11,51.900002,52.125,51.200001,52.325001,52.325001,0.0
267,2003-03-12,52.200001,52.900002,52.049999,52.650002,52.650002,0.0
268,2003-03-13,52.650002,53.049999,52.25,52.650002,52.650002,0.0
269,2003-03-14,52.5,53.150002,52.450001,52.924999,52.924999,0.0
270,2003-03-17,52.5,52.5,51.200001,51.200001,51.200001,0.0
271,2003-03-18,51.224998,51.75,51.224998,51.549999,51.549999,0.0
272,2003-03-19,52.900002,53.200001,52.599998,53.099998,53.099998,0.0
273,2003-03-20,53.0,53.325001,52.849998,52.875,52.875,0.0
274,2003-03-21,52.674999,52.674999,52.424999,52.549999,52.549999,0.0
275,2003-03-24,52.525002,52.525002,51.400002,51.625,51.625,0.0
276,2003-03-25,51.525002,51.525002,50.924999,51.424999,51.424999,0.0
277,2003-03-26,51.025002,51.099998,49.5,49.525002,49.525002,0.0
278,2003-03-27,48.924999,49.974998,48.924999,49.974998,49.974998,0.0
279,2003-03-28,50.025002,50.099998,49.775002,49.700001,49.700001,0.0
280,2003-03-31,50.450001,50.599998,50.450001,50.325001,50.325001,0.0
281,2003-04-01,49.25,49.275002,48.724998,48.549999,48.549999,0.0
282,2003-04-02,49.325001,49.575001,48.974998,49.625,49.625,0.0
283,2003-04-03,49.700001,49.950001,49.5,49.849998,49.849998,0.0
284,2003-04-04,50.400002,50.650002,50.400002,50.525002,50.525002,0.0
285,2003-04-07,50.650002,51.099998,50.549999,50.724998,50.724998,0.0
286,2003-04-08,50.375,50.700001,50.125,50.224998,50.224998,0.0
287,2003-04-09,50.25,50.25,49.849998,49.900002,49.900002,0.0
288,2003-04-10,49.75,49.75,49.5,49.349998,49.349998,0.0
289,2003-04-11,49.924999,49.924999,49.924999,49.924999,49.924999,0.0
290,2003-04-14,49.900002,49.900002,49.900002,49.900002,49.900002,0.0
292,2003-04-16,49.919998,49.919998,49.919998,49.919998,49.919998,0.0
293,2003-04-17,56.075001,56.075001,56.075001,56.075001,56.075001,0.0
295,2003-04-21,56.450001,56.450001,56.450001,56.450001,56.450001,0.0
296,2003-04-22,55.799999,55.799999,55.799999,55.799999,55.799999,0.0
297,2003-04-23,56.474998,56.474998,56.474998,56.474998,56.474998,0.0
298,2003-04-24,56.650002,56.650002,56.599998,56.674999,56.674999,0.0
299,2003-04-25,57.299999,57.549999,57.299999,57.775002,57.775002,0.0
300,2003-04-28,58.450001,58.450001,58.450001,58.450001,58.450001,0.0
301,2003-04-29,58.224998,58.224998,58.224998,58.224998,58.224998,0.0
302,2003-04-30,57.599998,57.599998,57.599998,57.950001,57.950001,0.0
