,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-03-01,4.98,5.14,4.98,5.08,5.08,10467.0
1,2000-03-02,5.08,5.13,4.94,4.96,4.96,9638.0
2,2000-03-03,4.96,5.06,4.96,5.05,5.05,5879.0
3,2000-03-06,5.1,5.16,5.03,5.04,5.04,11290.0
4,2000-03-07,5.05,5.14,5.03,5.07,5.07,9369.0
5,2000-03-08,5.13,5.29,5.07,5.12,5.12,14884.0
6,2000-03-09,5.19,5.21,5.13,5.16,5.16,5090.0
7,2000-03-10,5.23,5.26,5.15,5.22,5.22,8036.0
8,2000-03-13,5.3,5.43,5.26,5.42,5.42,21174.0
9,2000-03-14,5.37,5.39,5.17,5.28,5.28,12128.0
10,2000-03-15,5.29,5.35,5.18,5.25,5.25,8679.0
11,2000-03-16,5.32,5.35,5.25,5.34,5.34,8060.0
12,2000-03-17,5.34,5.35,5.26,5.27,5.27,4970.0
13,2000-03-20,5.23,5.29,5.11,5.13,5.13,11128.0
14,2000-03-21,5.09,5.22,5.06,5.2,5.2,10596.0
15,2000-03-22,5.19,5.26,5.16,5.25,5.25,7388.0
16,2000-03-23,5.3,5.49,5.26,5.45,5.45,23003.0
17,2000-03-24,5.45,5.47,5.32,5.38,5.38,12199.0
18,2000-03-27,5.38,5.5,5.37,5.47,5.47,10652.0
19,2000-03-28,5.5,5.57,5.39,5.41,5.41,16789.0
20,2000-03-29,5.4,5.44,5.28,5.42,5.42,10942.0
21,2000-03-30,5.53,5.55,5.47,5.55,5.55,12831.0
22,2000-03-31,5.58,5.94,5.58,5.9,5.9,46870.0
23,2000-04-03,5.9,5.93,5.73,5.91,5.91,20337.0
24,2000-04-04,5.88,5.88,5.75,5.81,5.81,11371.0
25,2000-04-05,5.79,6.04,5.79,6.02,6.02,18129.0
26,2000-04-06,6.1,6.14,5.92,5.96,5.96,13718.0
27,2000-04-07,5.9,5.99,5.82,5.89,5.89,10888.0
28,2000-04-10,5.89,5.92,5.84,5.86,5.86,7806.0
29,2000-04-11,5.8,5.98,5.78,5.97,5.97,14486.0
30,2000-04-12,5.95,6.05,5.88,6.03,6.03,13203.0
31,2000-04-13,6.05,6.19,6.05,6.16,6.16,17342.0
32,2000-04-14,6.01,6.25,6.01,6.23,6.23,13418.0
33,2000-04-17,6.22,6.46,6.12,6.45,6.45,10374.0
34,2000-04-18,6.47,6.48,6.33,6.35,6.35,8424.0
35,2000-04-19,6.32,6.52,6.31,6.41,6.41,8930.0
36,2000-04-20,6.35,6.49,6.31,6.44,6.44,9929.0
38,2000-04-24,6.4,6.46,6.35,6.37,6.37,5552.0
39,2000-04-25,6.34,6.42,6.31,6.36,6.36,8358.0
40,2000-04-26,6.37,6.38,6.26,6.27,6.27,9859.0
41,2000-04-27,6.25,6.28,6.15,6.18,6.18,13424.0
42,2000-04-28,6.1,6.45,5.0,5.16,5.16,0.0
43,2000-05-01,6.55,6.58,6.4,6.53,6.53,10740.0
44,2000-05-02,6.5,6.56,6.38,6.4,6.4,15674.0
45,2000-05-03,6.4,6.52,6.32,6.4,6.4,9120.0
46,2000-05-04,6.4,6.56,6.36,6.53,6.53,8547.0
47,2000-05-05,6.57,6.6,6.48,6.59,6.59,7828.0
48,2000-05-08,6.64,6.67,6.41,6.45,6.45,13888.0
49,2000-05-09,6.42,6.54,6.34,6.5,6.5,12442.0
50,2000-05-10,6.5,6.51,6.38,6.5,6.5,7201.0
51,2000-05-11,6.55,6.81,6.52,6.63,6.63,20887.0
52,2000-05-12,6.63,6.8,6.6,6.78,6.78,9079.0
53,2000-05-15,6.83,6.98,6.79,6.95,6.95,14706.0
54,2000-05-16,7.0,7.17,6.95,7.13,7.13,17806.0
55,2000-05-17,7.18,7.25,7.03,7.06,7.06,14288.0
56,2000-05-18,7.06,7.13,6.94,7.07,7.07,11849.0
57,2000-05-19,7.12,7.3,7.11,7.21,7.21,12513.0
58,2000-05-22,7.32,7.48,7.32,7.42,7.42,14409.0
59,2000-05-23,7.49,7.49,7.28,7.45,7.45,13901.0
60,2000-05-24,7.49,7.63,7.41,7.56,7.56,11479.0
61,2000-05-25,7.75,8.04,7.58,7.76,7.76,31345.0
62,2000-05-26,7.75,7.83,7.61,7.81,7.81,15535.0
64,2000-05-30,7.75,7.78,7.64,7.7,7.7,10209.0
65,2000-05-31,7.7,7.7,7.53,7.55,7.55,21008.0
66,2000-06-01,7.58,7.81,7.57,7.79,7.79,11769.0
67,2000-06-02,8.0,8.16,7.93,8.14,8.14,19849.0
68,2000-06-05,8.1,8.11,7.97,8.0,8.0,9945.0
69,2000-06-06,8.0,8.18,7.97,8.15,8.15,9552.0
70,2000-06-07,8.31,8.39,8.1,8.16,8.16,18250.0
71,2000-06-08,8.23,8.34,8.07,8.18,8.18,14832.0
72,2000-06-09,8.2,8.59,8.2,8.57,8.57,20769.0
73,2000-06-12,8.45,8.57,8.37,8.49,8.49,15859.0
74,2000-06-13,8.52,8.78,8.52,8.72,8.72,12052.0
75,2000-06-14,8.85,8.95,8.75,8.82,8.82,13457.0
76,2000-06-15,8.72,8.75,8.46,8.52,8.52,14010.0
77,2000-06-16,8.4,8.4,8.1,8.19,8.19,13399.0
78,2000-06-19,8.12,8.59,8.07,8.55,8.55,7873.0
79,2000-06-20,8.6,8.68,8.52,8.62,8.62,11730.0
80,2000-06-21,8.65,8.76,8.59,8.65,8.65,7747.0
81,2000-06-22,8.67,8.76,8.48,8.51,8.51,11329.0
82,2000-06-23,8.46,8.5,8.38,8.49,8.49,7489.0
83,2000-06-26,8.5,8.59,8.42,8.57,8.57,12806.0
84,2000-06-27,8.62,8.73,8.6,8.66,8.66,15760.0
85,2000-06-28,8.72,8.83,8.6,8.65,8.65,20375.0
86,2000-06-29,8.7,9.25,8.69,9.2,9.2,6596.0
87,2000-06-30,9.25,9.5,8.3,8.5,8.5,0.0
88,2000-07-03,8.43,8.43,8.43,8.43,8.43,11049.0
90,2000-07-05,8.43,8.82,8.35,8.69,8.69,7001.0
